Molecule ChEMBL ID,Smiles,Standard Value,Activity
CHEMBL4441013,CS(=O)(=O)Nc1cccc(-n2c3nc(=O)n(-c4ccc(Cl)cc4)c(=O)c-3cc3ccc(C#N)cc32)c1,6.1,1
CHEMBL4572376,CS(=O)(=O)Nc1ccc(-n2c3nc(=O)n(-c4ccc(Cl)cc4)c(=O)c-3cc3ccc(C#N)cc32)cc1,6.5,1
CHEMBL4436202,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)cc4)c(=O)nc-3n(-c3cccc(O)c3)c2c1,7.3,1
CHEMBL4587441,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)c(Cl)c4)c(=O)nc-3n(-c3cccc(O)c3)c2c1,14,1
CHEMBL4520052,N#Cc1ccc2cc3c(=O)n(-c4cccc(Cl)c4)c(=O)nc-3n(-c3cccc(O)c3)c2c1,20,1
CHEMBL4468174,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)cc4)c(=O)nc-3n(-c3ccc(O)cc3)c2c1,33,1
CHEMBL4560735,N#Cc1ccc2cc3c(=O)n(-c4ccccc4)c(=O)nc-3n(-c3ccc(O)cc3)c2c1,33,1
CHEMBL4555612,N#Cc1ccc2cc3c(=O)n(-c4cccc(C(N)=O)c4)c(=O)nc-3n(-c3ccc(O)cc3)c2c1,35,1
CHEMBL4521151,COC(=O)c1cccc(-n2c(=O)nc3n(-c4ccc(O)cc4)c4cc(C#N)ccc4cc-3c2=O)c1,38,1
CHEMBL4470500,NC1=CC(N)=C2C=CC(=O)N=C2C1=O,40,1
CHEMBL4457155,N#Cc1ccc2cc3c(=O)n(-c4ccc(Br)cc4)c(=O)nc-3n(-c3ccc(O)cc3)c2c1,65,1
CHEMBL4546104,N#Cc1ccc2cc3c(=O)n(-c4ccc(F)cc4)c(=O)nc-3n(-c3ccc(O)cc3)c2c1,70,1
CHEMBL4518508,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OCc4cccc(C(=O)O)c4)cc3)c2c1,130,1
CHEMBL4576353,COC(=O)c1cccc(COc2ccc(-n3c4nc(=O)[nH]c(=O)c-4cc4ccc(C#N)cc43)cc2)c1,150,1
CHEMBL1325945,CCCc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,161.1,1
CHEMBL4557001,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(Oc4cccc(C(=O)O)c4)cc3)c2c1,190,1
CHEMBL4464179,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OCc4ccccc4)cc3)c2c1,200,1
CHEMBL1463659,Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,210.04,1
CHEMBL4471861,N#Cc1ccc2cc3c(=O)n(-c4ccc(Cl)cc4)c(=O)nc-3n(-c3ccccc3)c2c1,270,1
CHEMBL4536546,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3cccc(Oc4ccccc4)c3)c2c1,300,1
CHEMBL4444838,Cn1c(=O)nc2n(-c3ccc(O)cc3)c3cc(C#N)ccc3cc-2c1=O,320,1
CHEMBL4590491,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3cccc(OCc4ccccc4)c3)c2c1,380,1
CHEMBL3145001,Cc1[nH]n(-c2ccccc2)c(=O)c1C(c1ccc(C(=O)O)cc1)c1c(C)[nH]n(-c2ccccc2)c1=O,527.96,1
CHEMBL1163377,CN1CCN(C2=C(Cl)C(=O)c3ccccc3C2=O)CC1,581.05,1
CHEMBL2000517,O=C1C(Nc2ccc(O)cc2)=C/C(=N/S(=O)(=O)c2cccs2)c2ccccc21,697.64,1
CHEMBL1877709,O=C(O)c1ccc(NC2=C/C(=N/S(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,816.81,1
CHEMBL1728280,COC1=CC(=O)c2c(ccc3ncnc(N)c23)C1=O,842.48,1
CHEMBL4470162,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OC(F)F)cc3)c2c1,880,1
CHEMBL1384253,CCOC(=O)c1c(C)[nH]c2c1-c1ccccc1C(=O)C2=O,915,1
CHEMBL4585923,COC(=O)c1cccc(Oc2ccc(-n3c4nc(=O)[nH]c(=O)c-4cc4ccc(C#N)cc43)cc2)c1,930,1
CHEMBL4470609,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc4c(c3)OCO4)c2c1,960,1
CHEMBL15192,CC1(C)CCC2=C(O1)c1ccccc1C(=O)C2=O,970,1
CHEMBL4473892,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OCc4cccc(Cl)c4)cc3)c2c1,990,1
CHEMBL126159,COc1cc2c3c(n(CCCNCCO)c(=O)c2cc1OC)-c1cc2c(cc1C3=O)OCO2,1000,1
CHEMBL4449643,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(OC(F)(F)F)cc3)c2c1,1000,1
CHEMBL1734083,NC1=C(Cl)C(=O)c2ccc(S(N)(=O)=O)cc2C1=O,1074,1
CHEMBL4585941,N#Cc1ccc2cc3c(=O)[nH]c(=O)nc-3n(-c3ccc(Oc4ccccc4)cc3)c2c1,1100,1
CHEMBL171632,CC1(C)C=C2C(=NN(c3ccccc3)C(N)=C2C#N)CO1,1273,1
